setV,readV
140,116.90427187113528
150,117.21795612811547
140,117.81321522994403
150,117.98734704188973
145,118.27139184151747
150,119.25319886631769
145,120.31527942144749
150,121.75279310304177
145,121.77749265083548
145,122.22455446590175
150,122.75806469824602
145,122.81240370339219
145,123.09274357085087
150,125.26753875408758
150,125.57257816933998
150,125.60468758147181
150,125.9801207079363
200,170.9036582351473
200,171.83977109652915
200,171.97808856417396
200,173.829319671313
200,174.45174827571464
200,176.75745106225804
200,178.40861583226797
200,178.54322836774372
200,180.21291779859894
200,180.5735311963872
250,222.01443248468422
250,223.06539824330684
250,223.9928662629609
250,226.77033041236427
250,228.93648075387318
250,229.8404842031232
250,230.70002846634452
250,230.7877118610122
250,231.39655571412732
250,231.77816372754023
300,273.6685967856829
300,274.835650418936
300,276.09903228858457
300,277.89221945840836
300,278.31211177090154
300,279.7928496611348
300,279.8212541410976
300,281.23530325228785
300,282.5814286070454
300,284.0955108868002
350,330.66650825185206
350,332.2732138358333
350,333.74901181650785
350,334.06269607348804
350,335.1964053172196
350,336.3202347418337
350,336.42150288778794
350,337.3119215857514
350,337.7713331747145
350,338.13318154989247
400,379.7284550119002
400,380.1841616686943
400,380.5040208126229
400,381.6537847624204
400,382.06750218796515
400,383.51983559823566
400,384.49546773608745
400,386.24419571988255
400,388.17693533474085
400,389.31558448803116
450,434.03164581377496
450,436.1274024440718
450,437.1178543105998
450,437.5896156734598
450,437.9514640486377
450,439.3284638381374
450,439.49889071791404
450,439.67919741680817
450,440.0052314476852
450,440.65482955465995
500,485.67593029565614
500,485.8797015649543
500,486.313178628734
500,487.23323678404995
500,488.83376748108276
500,489.9724166343731
500,492.6510825926016
500,494.68138542124507
500,495.0284140677468
500,495.2173656083687
550,536.9534264928006
550,537.5017564538211
550,539.1047571056333
550,541.3882302991624
550,542.8343888224845
550,544.2879572101447
550,545.190725682005
550,545.9835811661833
550,545.9909910305214
550,546.6282393635993
600,588.3136661750541
600,588.9435046437939
600,589.6869610323847
600,592.4940646391406
600,593.1658923391296
600,595.4431906457103
600,596.1063735039716
600,597.0474262749121
600,597.3252961875914
600,598.0724575083514
650,643.013284719018
650,643.1404873901556
650,643.1713618248978
650,644.9559041529938
650,645.3226924377304
650,647.0800652632533
650,648.0902767680163
650,649.5327303591694
650,650.8726808269785
650,652.1607622444208
700,694.084539692085
700,694.9280292492404
700,696.3741877725624
700,698.1809596936728
700,698.9676402909026
700,699.96056211221
700,701.8488425410396
700,702.3984074794498
700,702.9825517847712
700,703.7717023367804
750,748.2234785011315
750,748.6285510849484
750,749.5387294211469
750,750.2648961262821
750,752.8324141194389
750,753.9154892901934
750,755.2381500745469
750,756.711478100442
750,757.0819713173478
750,757.9711550379216
800,799.0847873179519
800,800.0171952471646
800,800.0270750662821
800,800.9446632668187
800,802.2981984859143
800,802.6575769063129
800,804.4766986013201
800,805.3028984750199
800,807.3023268689212
800,809.6524888414933
850,851.0452260115926
850,851.6701245707736
850,851.9504644382323
850,853.052064269832
850,855.331832531192
850,855.7578997306337
850,856.9978170298782
850,859.4900014022642
850,859.8172704105309
850,860.2396326778035
900,905.8732822040838
900,906.3240489513191
900,906.6476130274168
900,906.7908704046204
900,907.6331249843861
900,909.3139292117485
900,909.7819856424394
900,911.0984715398445
900,911.9357862100514
900,915.2319408631229
950,958.7142597765705
950,958.956315344949
950,959.3144587879578
950,959.6639573892389
950,962.3080439805562
950,963.1762330855054
950,965.1768964567964
950,966.6946836687202
950,966.7082684200068
950,967.6604359874545
1000,1010.1658877856607
1000,1011.300832006782
1000,1012.3962569514333
1000,1014.4537292826499
1000,1014.8353372960628
1000,1016.3049603897889
1000,1016.4753872695655
1000,1019.1342935895591
1000,1019.2281518711752
1000,1020.1284503882562
2000,2065.0675193492134
2000,2065.6615434736523
2000,2066.6519953401803
2000,2066.735973802679
2000,2067.4337360278514
2000,2069.5677769572285
2000,2071.4227129965366
2000,2072.9985441457757
2000,2073.544404152017
2000,2074.2446363319686
3000,3122.4082312573955
3000,3124.301451595784
3000,3124.859661375922
3000,3125.7290854582607
3000,3127.4395291429755
3000,3127.9508097823054
3000,3128.6300473466326
3000,3129.1376230537935
3000,3129.693362879152
3000,3130.389890126935
4000,4172.386007968271
4000,4172.807135258154
4000,4172.933102951902
4000,4174.758399533857
4000,4175.929158099279
4000,4178.115068079023
4000,4178.627583695743
4000,4180.773974399017
4000,4180.95798603008
4000,4181.535955448453
5000,5228.48062769026
5000,5228.779492218564
5000,5229.041307425177
5000,5229.173450005874
5000,5230.503520654565
5000,5231.510027227159
5000,5232.754884435963
5000,5232.84503778541
5000,5234.086190062044
5000,5235.011188126919
6000,6282.753655762463
6000,6285.520005115359
6000,6287.290962692168
6000,6289.310150724305
6000,6290.249968517855
6000,6290.325302138626
6000,6291.5429898448565
6000,6292.048095597238
6000,6292.180238177934
6000,6292.508742163591
7000,7336.874781615734
7000,7337.050148405069
7000,7338.22708185744
7000,7338.849510461841
7000,7340.196870793989
7000,7341.819631084036
7000,7342.5087484674805
7000,7342.5754372465235
7000,7344.915719399978
7000,7346.060543440217
8000,8387.570080190017
8000,8387.614539376045
8000,8387.79361109755
8000,8387.956628112988
8000,8388.877921245694
8000,8392.11603196145
8000,8394.392095290641
8000,8395.746865487126
8000,8396.43968780274
8000,8397.153504733978
9000,9441.505959434835
9000,9441.834463420491
9000,9441.850518126557
9000,9442.577919809082
9000,9443.274447056865
9000,9443.786962673585
9000,9444.27971865207
9000,9444.376046888465
9000,9445.671538170245
9000,9449.066491014491
10000,10122.86521491751
10000,10122.865214917512
10000,10122.865214917514
10000,10122.865214917516
10000,10122.865214917518
